jogo_id,genero,plataforma,gratuito,preco,horas_jogo_mes,avaliacao,idade_jogador,num_avaliacoes
1,Esporte,Console,Não,25.52,22.7,70.3,23.0,49
2,RPG,Mobile,Não,18.57,20.6,57.6,36.0,54
3,Indie,PC,Sim,0.0,15.6,52.2,32.0,37
4,Esporte,PC,Não,11.47,13.2,67.6,14.0,39
5,Ação,Mobile,Sim,0.0,45.1,68.3,34.0,95
6,Indie,Console,Não,18.55,15.6,62.3,34.0,31
7,Esporte,Console,Não,16.26,25.0,67.1,17.0,44
8,Esporte,Console,Sim,0.0,42.9,79.6,10.0,94
9,Ação,PC,Sim,0.0,22.7,70.9,24.0,59
10,RPG,Console,Não,52.56,22.0,82.6,33.0,47
11,RPG,PC,Sim,0.0,15.7,50.0,36.0,39
12,Indie,PC,Não,28.41,20.9,75.4,19.0,48
13,Estratégia,Console,Não,23.73,12.4,39.8,37.0,33
14,Indie,Console,Não,8.86,73.7,100.0,10.0,150
15,RPG,Mobile,Sim,0.0,4.6,39.4,22.0,10
16,Ação,PC,Não,22.62,13.8,,22.0,29
17,Estratégia,PC,Não,38.39,23.0,65.3,33.0,57
18,Ação,Mobile,Sim,0.0,22.0,79.8,34.0,50
19,Indie,PC,Não,22.22,12.3,72.1,32.0,26
20,Estratégia,PC,Sim,0.0,3.1,52.9,16.0,12
21,Esporte,PC,Não,51.5,5.4,55.0,,22
22,RPG,Console,Não,29.57,18.0,58.3,29.0,40
23,Indie,Mobile,Não,30.58,2.2,63.4,13.0,12
24,Indie,Console,Não,55.42,24.1,65.6,11.0,49
25,Esporte,Console,Não,49.1,34.2,68.1,32.0,78
26,Ação,PC,Sim,0.0,27.1,76.1,24.0,62
27,RPG,PC,Sim,0.0,30.8,65.4,16.0,76
28,Ação,Console,Não,16.16,2.3,53.4,24.0,12
29,Ação,PC,Não,13.43,12.7,63.6,28.0,27
30,Esporte,PC,Não,37.96,6.7,53.2,24.0,19
